"Seller Gstin","Invoice Number","Invoice Date","Transaction Type","Order Id","Shipment Id","Shipment Date","Order Date","Shipment Item Id",Quantity,"Item Description",Asin,Hsn/sac,Sku,"Product Tax Code","Bill From City","Bill From State","Bill From Country","Bill From Postal Code","Ship From City","Ship From State","Ship From Country","Ship From Postal Code","Ship To City","Ship To State","Ship To Country","Ship To Postal Code","Invoice Amount","Tax Exclusive Gross","Total Tax Amount","Cgst Rate","Sgst Rate","Utgst Rate","Igst Rate","Compensatory Cess Rate","Principal Amount","Principal Amount Basis","Cgst Tax","Sgst Tax","Utgst Tax","Igst Tax","Compensatory Cess Tax","Shipping Amount","Shipping Amount Basis","Shipping Cgst Tax","Shipping Sgst Tax","Shipping Utgst Tax","Shipping Igst Tax","Shipping Cess Tax","Gift Wrap Amount","Gift Wrap Amount Basis","Gift Wrap Cgst Tax","Gift Wrap Sgst Tax","Gift Wrap Utgst Tax","Gift Wrap Igst Tax","Gift Wrap Compensatory Cess Tax","Item Promo Discount","Item Promo Discount Basis","Item Promo Tax","Shipping Promo Discount","Shipping Promo Discount Basis","Shipping Promo Tax","Gift Wrap Promo Discount","Gift Wrap Promo Discount Basis","Gift Wrap Promo Tax","Tcs Cgst Rate","Tcs Cgst Amount","Tcs Sgst Rate","Tcs Sgst Amount","Tcs Utgst Rate","Tcs Utgst Amount","Tcs Igst Rate","Tcs Igst Amount","Warehouse Id","Fulfillment Channel","Payment Method Code","Bill To City","Bill To State","Bill To Country","Bill To Postalcode","Customer Bill To Gstid","Customer Ship To Gstid","Buyer Name","Credit Note No","Credit Note Date","Irn Number","Irn Filing Status","Irn Date","Irn Error Code"
06DCXPS3844E1Z1,DEL5-4372,"2026-02-22 11:13:48",Shipment,171-3778562-7885904,A069764819H1PL3L871SE,"2026-02-22 19:04:44","2026-02-20 17:45:22",553005834687,1,"CRASOME Water Dispenser for 20 ltr Litre Bottle Jar Cover with Transparent Strap   Black Pack of 2  DC TS B 2Q ",B0CTMJD3KP,630790,CRM-DC-TS-NW-BLACK-2Q,A_GEN_SUPERREDUCED,BENGALURU,KARNATAKA,IN,562149,Gurgaon,HARYANA,IN,122413,MIAO,"ARUNACHAL PRADESH",IN,792122,319,303.81,15.19,0,0,0,0.05,0,319,303.81,0,0,0,15.19,0,40,38.1,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,-40,-38.1,-1.9,0,0,0,0,0,0,0,0,0,0.005,1.52,DEL5,AFN,COD,TINSUKIA,ASSAM,IN,786188,18ATPPV1014M1Z6,,"SHYAM TRADERS",,,,,,
06DCXPS3844E1Z1,,"2026-02-23 14:41:25",Cancel,403-5041810-8841112,A07120642JEQJN6V31FKW,,,552981012482,1,,B0C9X542SL,,"CP-BLACK-1-PACK OF 2",A_GEN_SUPERREDUCED,BENGALURU,KARNATAKA,IN,562149,Gurgaon,HARYANA,IN,122503,GURUGRAM,HARYANA,IN,122017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,GURUGRAM,HARYANA,IN,122017,,,,,,,GOVT_REJECTED,,2176
06DCXPS3844E1Z1,DEL4-3802,"2026-02-23 14:41:25",Shipment,403-5041810-8841112,A07120642JEQJN6V31FKW,"2026-02-23 22:36:34","2026-02-23 13:18:24",552981012482,1,"CRASOME Polyester Storage Organizer Gadget Pouch for USB Cable  Earphone  Power Bank  Charger  Hard Disk  Pen Drive  Travel Gadgets Organiser Bag  Lap",B0C9X542SL,420222,"CP-BLACK-1-PACK OF 2",A_GEN_SUPERREDUCED,BENGALURU,KARNATAKA,IN,562149,Gurgaon,HARYANA,IN,122503,GURUGRAM,HARYANA,IN,122017,332.22,316.4,15.82,0.025,0.025,0,0,0,339,322.86,8.07,8.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.78,-6.46,-0.32,0,0,0,0,0,0,0.0025,0.79,0.0025,0.79,0,0,0,0,DEL4,AFN,CC,GURUGRAM,HARYANA,IN,122017,06AAACQ5747P1ZV,,"QUICKZART PRIVATE LIMITED",,,,,,
06DCXPS3844E1Z1,DEL5-4404,"2026-02-24 00:03:42",Shipment,408-2414254-6033952,A06392642X5K8RXSTTZW9,"2026-02-24 04:14:48","2026-02-23 19:52:50",553034387672,1,"CRASOME Non Woven Water Dispenser For 20 Ltr   Litre Bottle Jar Cover With Transparent Strap   Black  DC TS BLK ",B0CTMTGSL9,630790,CRM-DC-TS-NW-BLACK,A_GEN_SUPERREDUCED,BENGALURU,KARNATAKA,IN,562149,Gurgaon,HARYANA,IN,122413,MOHALI,PUNJAB,IN,160055,249,237.14,11.86,0,0,0,0.05,0,249,237.14,0,0,0,11.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,1.19,DEL5,AFN,COD,Mohali,PUNJAB,IN,160055,03AAWFK2290G1Z6,,"KRYSZNA CYBERSECURITY LLP",,,,,,
06DCXPS3844E1Z1,DEL5-4398,"2026-02-23 19:43:56",Shipment,402-6347718-2578753,A0174472IV0V9NZH9BGQ,"2026-02-24 11:42:53","2026-02-23 10:16:34",553147964297,1,"CRASOME Non Woven Water Dispenser For 20 Ltr   Litre Bottle Jar Cover With Transparent Strap   Black  DC TS BLK ",B0CTMTGSL9,630790,CRM-DC-TS-NW-BLACK,A_GEN_SUPERREDUCED,BENGALURU,KARNATAKA,IN,562149,Gurgaon,HARYANA,IN,122413,GURUGRAM,HARYANA,IN,122017,244.02,232.4,11.62,0.025,0.025,0,0,0,249,237.14,5.93,5.93,0,0,0,40,38.1,0.95,0.95,0,0,0,0,0,0,0,0,0,0,-4.98,-4.74,-0.24,-40,-38.1,-1.9,0,0,0,0.0025,0.58,0.0025,0.58,0,0,0,0,DEL5,AFN,PayStation,GURUGRAM,HARYANA,IN,122001,06AAGCL5317A1ZZ,,"LUXE DECOR HUB PRIVATE LIMITED",,,,,,
06DCXPS3844E1Z1,DEL4-3794,"2026-02-22 20:31:38",Shipment,406-5479434-7429129,A03648532U362JLIOZ4P1,"2026-02-24 12:51:05","2026-02-19 10:43:45",553004055818,1,"CRASOME Non Woven Water Dispenser For 20 Ltr   Litre Bottle Jar Cover  Black ",B0BM4KGTYM,630790,CRM_NW_BLACK_DC,A_GEN_SUPERREDUCED,BENGALURU,KARNATAKA,IN,562149,Gurgaon,HARYANA,IN,122503,"NEW DELHI",DELHI,IN,110037,244.02,232.4,11.62,0,0,0,0.05,0,249,237.14,0,0,0,11.86,0,40,38.1,0,0,0,1.9,0,0,0,0,0,0,0,0,-4.98,-4.74,-0.24,-40,-38.1,-1.9,0,0,0,0,0,0,0,0,0,0.005,1.16,DEL4,AFN,CC,MUMBAI,MAHARASHTRA,IN,400005,27AAGFN3266K1ZY,,"NMI SYSTEMS",,,,,,
06DCXPS3844E1Z1,DEL4-3824,"2026-02-24 20:49:29",Shipment,404-3424934-3766705,A037111610W0I5UW86QNU,"2026-02-24 23:11:46","2026-02-24 20:44:21",553478705651,1,"CRASOME Non Woven Dust Proof Water Resistant Printer Cover For HP Laserjet Tank MFP 1188Fnw   2606Sdw  Grey ",B0F4XM78MP,630790,CRM-HP-2606sdw-Grey,A_GEN_SUPERREDUCED,BENGALURU,KARNATAKA,IN,562149,Gurgaon,HARYANA,IN,122503,"New Delhi",DELHI,IN,110096,259,246.67,12.33,0,0,0,0.05,0,259,246.67,0,0,0,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,1.23,DEL4,AFN,PayStation,"NEW DELHI",DELHI,IN,110096,07AAYFM1016G1Z8,,"Mark Integration   Technology Solutions LLP",,,,,,
06DCXPS3844E1Z1,DEL4-3834,"2026-02-25 19:21:20",Shipment,402-5160110-9222752,A01654162WAUU1BFXSJUA,"2026-02-26 02:28:56","2026-02-24 23:39:53",554085787443,5,"CRASOME Apron for Kitchen   Unisex Cooking Apron with 2 Pockets and Adjustable Straps   Apron for Chef  Hotel  Cafe  Restaurant  Gardening  Workshop  ",B0BQMV8D85,630222,"CRM_AP_BROWN_PACK OF 2",A_GEN_SUPERREDUCED,BENGALURU,KARNATAKA,IN,562149,Gurgaon,HARYANA,IN,122503,DHEMAJI,ASSAM,IN,787056,1562.76,1488.31,74.45,0,0,0,0.05,0,1645,1566.65,0,0,0,78.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.24,-78.34,-3.9,0,0,0,0,0,0,0,0,0,0,0,0,0.005,7.45,DEL4,AFN,PayStation,PHULONI,ASSAM,IN,782482,18AAHCT8706C1ZA,,"TUKTUKI PRIVATE LIMITED",,,,,,
06DCXPS3844E1Z1,DEL5-4456,"2026-02-26 19:57:52",Shipment,403-2014990-6587533,A01740481G1N0XBDBY8G6,"2026-02-26 23:02:36","2026-02-26 19:39:35",554132889448,1,"CRASOME Non Woven Dust   Water Proof Printer Cover for HP Smart Tank All in One 529   589  Grey ",B0CQC5GSY9,630790,CRM-HP-529-Grey,A_GEN_SUPERREDUCED,BENGALURU,KARNATAKA,IN,562149,Gurgaon,HARYANA,IN,122413,GURUGRAM,HARYANA,IN,122017,277.34,264.12,13.22,0.025,0.025,0,0,0,283,269.52,6.74,6.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.66,-5.4,-0.26,0,0,0,0,0,0,0.0025,0.66,0.0025,0.66,0,0,0,0,DEL5,AFN,CC,GURUGRAM,HARYANA,IN,122017,06AAACQ5747P1ZV,,"QUICKZART PRIVATE LIMITED",,,,,,
06DCXPS3844E1Z1,,"2026-02-27 08:53:45",Cancel,407-6395705-9595540,A06598802Y5JHIQMHQ5JE,,,554757706034,1,,B0CQ8MGHWP,,CRM-HP-580-Grey,A_GEN_SUPERREDUCED,BENGALURU,KARNATAKA,IN,562149,Gurgaon,HARYANA,IN,122413,CHANDIGARH,CHANDIGARH,IN,160014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,CHANDIGARH,CHANDIGARH,IN,160014,,,,,,,,,
